
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0147   -0.1073   0.0926   0.2138   0.1788   0.06295513
     3   0.0167   -0.1864   -0.0663   0.2336   0.2974   0.07733920
     4   0.0349   -0.1173   -0.2288   0.0802   0.3827   0.07733923
     5   0.0175   0.0610   -0.2576   -0.1780   0.3594   0.07733946
     6   0.0030   0.1690   -0.1369   -0.3844   0.2138   0.07733953
     7   -0.0001   0.1712   0.0395   -0.4333   0.0019   0.07733956
     8   -0.0020   0.1046   0.1813   -0.3173   -0.1916   0.07733960
     9   -0.0078   0.0084   0.2381   -0.0996   -0.2982   0.07733990
    10   -0.0106   -0.0821   0.1981   0.1261   -0.2899   0.07734024
    11   -0.0100   -0.1280   0.0881   0.2731   -0.1855   0.07734051
    12   -0.0097   -0.1157   -0.0380   0.2971   -0.0376   0.07734058
    13   -0.0073   -0.0636   -0.1298   0.2088   0.0927   0.07734064
    14   -0.0008   0.0037   -0.1593   0.0586   0.1608   0.07734071
    15   0.0032   0.0636   -0.1228   -0.0875   0.1520   0.07734078
    16   0.0044   0.0889   -0.0425   -0.1722   0.0837   0.07734085
    17   0.0046   0.0727   0.0414   -0.1714   -0.0058   0.07734092
    18   0.0024   0.0300   0.0940   -0.1001   -0.0759   0.07734098
    19   0.0003   -0.0188   0.0987   0.0003   -0.1010   0.07734105
    20   -0.0013   -0.0513   0.0613   0.0830   -0.0786   0.07734112
    21   -0.0018   -0.0566   0.0048   0.1165   -0.0263   0.07734119
    22   -0.0012   -0.0372   -0.0437   0.0954   0.0287   0.07734126
    23   0.0000   -0.0057   -0.0654   0.0382   0.0630   0.07734133
    24   0.0014   0.0227   -0.0558   -0.0248   0.0659   0.07734140
    25   0.0022   0.0365   -0.0245   -0.0661   0.0419   0.07734147
    26   0.0023   0.0326   0.0116   -0.0722   0.0058   0.07734154
    27   0.0018   0.0157   0.0365   -0.0468   -0.0250   0.07734160
    28   0.0011   -0.0048   0.0417   -0.0060   -0.0384   0.07734167
    29   0.0004   -0.0197   0.0285   0.0304   -0.0318   0.07734174
    30   0.0002   -0.0237   0.0058   0.0479   -0.0112   0.07734181
    31   0.0004   -0.0171   -0.0154   0.0425   0.0123   0.07734188
    32   0.0010   -0.0045   -0.0263   0.0206   0.0285   0.07734195
    33   0.0017   0.0078   -0.0243   -0.0058   0.0321   0.07734202
    34   0.0022   0.0146   -0.0124   -0.0247   0.0240   0.07734208
    35   0.0024   0.0141   0.0026   -0.0295   0.0098   0.07734215
    36   0.0023   0.0078   0.0139   -0.0207   -0.0032   0.07734222
    37   0.0021   -0.0007   0.0175   -0.0043   -0.0096   0.07734229
    38   0.0020   -0.0074   0.0131   0.0115   -0.0076   0.07734236
    39   0.0020   -0.0098   0.0040   0.0203   0.0007   0.07734242
    40   0.0022   -0.0077   -0.0051   0.0196   0.0111   0.07734249
    41   0.0026   -0.0028   -0.0104   0.0115   0.0191   0.07734255
    42   0.0031   0.0025   -0.0104   0.0006   0.0221   0.07734262
    43   0.0035   0.0057   -0.0059   -0.0078   0.0201   0.07734269
    44   0.0038   0.0060   0.0003   -0.0106   0.0153   0.07734275
    45   0.0040   0.0037   0.0053   -0.0077   0.0105   0.07734281
    46   0.0042   0.0002   0.0073   -0.0010   0.0082   0.07734287
    47   0.0044   -0.0027   0.0060   0.0059   0.0095   0.07734293
    48   0.0047   -0.0041   0.0025   0.0102   0.0137   0.07734298
    49   0.0051   -0.0035   -0.0014   0.0108   0.0191   0.07734304
    50   0.0056   -0.0015   -0.0039   0.0080   0.0239   0.07734309
    51   0.0062   0.0007   -0.0042   0.0038   0.0268   0.07734314
    52   0.0067   0.0022   -0.0026   0.0002   0.0278   0.07734318
    53   0.0073   0.0025   -0.0000   -0.0011   0.0274   0.07734356
    54   0.0079   0.0017   0.0022   0.0001   0.0271   0.07734392
    55   0.0085   0.0003   0.0033   0.0029   0.0278   0.07734420
    56   0.0091   -0.0010   0.0030   0.0062   0.0301   0.07734439
    57   0.0098   -0.0017   0.0016   0.0085   0.0338   0.07734450
    58   0.0106   -0.0016   0.0000   0.0093   0.0383   0.07734464
    59   0.0115   -0.0009   -0.0011   0.0088   0.0429   0.07734484
    60   0.0125   0.0000   -0.0013   0.0075   0.0470   0.07734488
    61   0.0107   0.0007   -0.0007   0.0064   0.0504   0.07734525
    62   0.0080   -0.0029   -0.0020   0.0054   0.0534   0.07734531
    63   0.0038   -0.0070   -0.0076   0.0009   0.0552   0.07734534
