
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0151   -0.1208   0.0849   0.2111   0.1784   0.06156439
     3   0.0163   -0.1950   -0.0868   0.2164   0.2926   0.07182257
     4   0.0318   -0.1063   -0.2490   0.0410   0.3638   0.07182281
     5   0.0086   0.0884   -0.2580   -0.2290   0.3172   0.07182304
     6   -0.0031   0.1921   -0.1113   -0.4223   0.1482   0.07182308
     7   -0.0022   0.1840   0.0841   -0.4352   -0.0744   0.07358369
     8   -0.0061   0.1012   0.2318   -0.2703   -0.2570   0.07358375
     9   -0.0082   -0.0223   0.2714   -0.0084   -0.3284   0.07358413
    10   -0.0055   -0.1251   0.1935   0.2327   -0.2690   0.07358450
    11   -0.0037   -0.1594   0.0454   0.3550   -0.1158   0.07358478
    12   -0.0032   -0.1247   -0.1014   0.3241   0.0601   0.07358485
    13   0.0006   -0.0479   -0.1897   0.1721   0.1878   0.07358519
    14   0.0051   0.0406   -0.1920   -0.0262   0.2244   0.07358557
    15   0.0053   0.1037   -0.1157   -0.1854   0.1682   0.07358593
    16   0.0056   0.1130   -0.0028   -0.2454   0.0558   0.07358627
    17   0.0043   0.0753   0.0945   -0.1963   -0.0587   0.07358661
    18   0.0009   0.0120   0.1387   -0.0744   -0.1282   0.07358696
    19   -0.0008   -0.0490   0.1182   0.0592   -0.1311   0.07358732
    20   -0.0017   -0.0793   0.0506   0.1462   -0.0769   0.07358767
    21   -0.0015   -0.0710   -0.0277   0.1570   0.0022   0.07358801
    22   -0.0004   -0.0338   -0.0816   0.0992   0.0684   0.07358837
    23   0.0009   0.0118   -0.0922   0.0084   0.0958   0.07358873
    24   0.0018   0.0451   -0.0618   -0.0713   0.0788   0.07358908
    25   0.0021   0.0539   -0.0099   -0.1079   0.0318   0.07358944
    26   0.0017   0.0383   0.0378   -0.0926   -0.0203   0.07358979
    27   0.0009   0.0088   0.0618   -0.0403   -0.0545   0.07359015
    28   0.0001   -0.0196   0.0556   0.0208   -0.0591   0.07359050
    29   -0.0004   -0.0352   0.0267   0.0633   -0.0369   0.07359086
    30   -0.0003   -0.0332   -0.0089   0.0720   -0.0016   0.07359122
    31   0.0001   -0.0175   -0.0351   0.0487   0.0297   0.07359157
    32   0.0007   0.0032   -0.0421   0.0084   0.0443   0.07359193
    33   0.0012   0.0192   -0.0300   -0.0290   0.0386   0.07359229
    34   0.0014   0.0245   -0.0071   -0.0480   0.0184   0.07359265
    35   0.0012   0.0184   0.0151   -0.0435   -0.0054   0.07359300
    36   0.0009   0.0055   0.0274   -0.0211   -0.0220   0.07359336
    37   0.0005   -0.0077   0.0260   0.0067   -0.0256   0.07359372
    38   0.0003   -0.0155   0.0138   0.0272   -0.0166   0.07359407
    39   0.0003   -0.0154   -0.0024   0.0329   -0.0009   0.07359443
    40   0.0005   -0.0088   -0.0149   0.0237   0.0138   0.07359479
    41   0.0008   0.0005   -0.0191   0.0059   0.0213   0.07359515
    42   0.0010   0.0081   -0.0145   -0.0115   0.0198   0.07359550
    43   0.0011   0.0110   -0.0044   -0.0212   0.0112   0.07359586
    44   0.0010   0.0088   0.0059   -0.0203   0.0004   0.07359622
    45   0.0009   0.0032   0.0120   -0.0108   -0.0077   0.07359657
    46   0.0007   -0.0029   0.0121   0.0018   -0.0099   0.07359693
    47   0.0006   -0.0068   0.0070   0.0116   -0.0064   0.07359729
    48   0.0006   -0.0071   -0.0003   0.0150   0.0006   0.07359764
    49   0.0007   -0.0044   -0.0063   0.0115   0.0075   0.07359800
    50   0.0009   -0.0002   -0.0086   0.0037   0.0113   0.07359836
    51   0.0010   0.0034   -0.0069   -0.0044   0.0111   0.07359871
    52   0.0010   0.0050   -0.0025   -0.0092   0.0075   0.07359907
    53   0.0010   0.0042   0.0022   -0.0093   0.0027   0.07359943
    54   0.0010   0.0017   0.0053   -0.0054   -0.0011   0.07359978
    55   0.0009   -0.0010   0.0056   0.0003   -0.0024   0.07360014
    56   0.0009   -0.0029   0.0035   0.0049   -0.0011   0.07360049
    57   0.0009   -0.0033   0.0002   0.0068   0.0020   0.07360085
    58   0.0009   -0.0022   -0.0026   0.0055   0.0052   0.07360121
    59   0.0010   -0.0003   -0.0039   0.0022   0.0072   0.07360156
    60   0.0011   0.0014   -0.0033   -0.0016   0.0073   0.07360191
    61   0.0011   0.0022   -0.0014   -0.0040   0.0059   0.07360227
    62   0.0011   0.0020   0.0008   -0.0042   0.0037   0.07360262
    63   0.0011   0.0009   0.0023   -0.0026   0.0020   0.07360297
